"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged-in user
  I want to navigate to the Admin page
  So that I can manage administrative tasks","3038","Search a user by username","","Sat Jan 04 16:27:01 UTC 2025","failed","Sat Jan 04 16:27:04 UTC 2025","","Navigate from My Info to Admin Page","Search a user by username",""
"  As a logged in user
  I want to manage timesheets and customer information","14350","Edit Customer Description","","Sat Jan 04 16:26:31 UTC 2025","passed","Sat Jan 04 16:26:46 UTC 2025","","Time Module Navigation and Customer Management","Edit Customer Description",""
"  This feature talk about login functionality.","6312","verify valid username and valid password","","Sat Jan 04 16:29:52 UTC 2025","passed","Sat Jan 04 16:29:58 UTC 2025","","To verify valid username and valid password","verify valid username and valid password",""
"  As a logged-in user
  I want to access the Dashboard page
  So that I can view the overview of the application","3068","Verify Dashboard Page","","Sat Jan 04 16:24:00 UTC 2025","passed","Sat Jan 04 16:24:03 UTC 2025","","Validate Dashboard Page","Verify Dashboard Page",""
"  As a logged-in user
  I want to navigate to the Admin page
  So that I can manage administrative tasks","3041","Edit an existing user","","Sat Jan 04 16:09:37 UTC 2025","failed","Sat Jan 04 16:09:40 UTC 2025","","Navigate from My Info to Admin Page","Edit an existing user",""
"  As a logged in user
  I want to manage timesheets and customer information","14390","Verify Required Field Validation for Customer Creation","","Sat Jan 04 16:26:17 UTC 2025","passed","Sat Jan 04 16:26:31 UTC 2025","","Time Module Navigation and Customer Management","Verify Required Field Validation for Customer Creation",""
"  As a logged-in user
  I want to navigate to the Admin page
  So that I can manage administrative tasks","3022","Edit an existing user","","Sat Jan 04 16:27:04 UTC 2025","failed","Sat Jan 04 16:27:07 UTC 2025","","Navigate from My Info to Admin Page","Edit an existing user",""
"  As a logged-in user
  I want to navigate to the Admin page
  So that I can manage administrative tasks","4539","Navigate to Admin Page","","Sat Jan 04 16:26:46 UTC 2025","passed","Sat Jan 04 16:26:50 UTC 2025","","Navigate from My Info to Admin Page","Navigate to Admin Page",""
"  As a logged-in user
  I want to navigate to the My Info page
  So that I can view and update my personal information","7708","Delete attachment with confirmation","","Sat Jan 04 16:25:17 UTC 2025","passed","Sat Jan 04 16:25:25 UTC 2025","","Navigate from Dashboard to My Info Page","Delete attachment with confirmation",""
"  As a logged-in user
  I want to access the Dashboard page
  So that I can view the overview of the application","3030","Verify all widgets on the Dashboard","","Sat Jan 04 16:24:03 UTC 2025","passed","Sat Jan 04 16:24:06 UTC 2025","","Validate Dashboard Page","Verify all widgets on the Dashboard",""
"  As a logged-in user
  I want to access the Dashboard page
  So that I can view the overview of the application","11009","Verify search bar functionality on the Dashboard","","Sat Jan 04 16:24:38 UTC 2025","passed","Sat Jan 04 16:24:49 UTC 2025","","Validate Dashboard Page","Verify search bar functionality on the Dashboard",""
"  As a logged-in user
  I want to navigate to the Admin page
  So that I can manage administrative tasks","10799","Add a new user","","Sat Jan 04 16:26:50 UTC 2025","passed","Sat Jan 04 16:27:01 UTC 2025","","Navigate from My Info to Admin Page","Add a new user",""
"  As a logged in user
  I want to manage timesheets and customer information","15594","Create New Customer with Valid Details","","Sat Jan 04 16:26:01 UTC 2025","passed","Sat Jan 04 16:26:17 UTC 2025","","Time Module Navigation and Customer Management","Create New Customer with Valid Details",""
"  As a logged-in user
  I want to access the Dashboard page
  So that I can view the overview of the application","25611","Verify Dashboard responsiveness across screen sizes","","Sat Jan 04 16:24:10 UTC 2025","passed","Sat Jan 04 16:24:35 UTC 2025","","Validate Dashboard Page","Verify Dashboard responsiveness across screen sizes",""
"  As a logged-in user
  I want to navigate to the My Info page
  So that I can view and update my personal information","9438","Add an image to attachments and write a comment","","Sat Jan 04 16:25:08 UTC 2025","passed","Sat Jan 04 16:25:17 UTC 2025","","Navigate from Dashboard to My Info Page","Add an image to attachments and write a comment",""
"  As a logged-in user
  I want to navigate to the My Info page
  So that I can view and update my personal information","6371","Update User Full Name","","Sat Jan 04 16:24:55 UTC 2025","passed","Sat Jan 04 16:25:02 UTC 2025","","Navigate from Dashboard to My Info Page","Update User Full Name",""
"  As a logged-in user
  I want to access the Dashboard page
  So that I can view the overview of the application","3746","Verify user profile menu options","","Sat Jan 04 16:24:06 UTC 2025","passed","Sat Jan 04 16:24:10 UTC 2025","","Validate Dashboard Page","Verify user profile menu options",""
"  As a logged-in user
  I want to navigate to the Admin page
  So that I can manage administrative tasks","12300","Add a new user","","Sat Jan 04 16:09:22 UTC 2025","passed","Sat Jan 04 16:09:34 UTC 2025","","Navigate from My Info to Admin Page","Add a new user",""
"  As a logged-in user
  I want to navigate to the Admin page
  So that I can manage administrative tasks","3034","Search a user by username","","Sat Jan 04 16:09:34 UTC 2025","failed","Sat Jan 04 16:09:37 UTC 2025","","Navigate from My Info to Admin Page","Search a user by username",""
"  As a logged-in user
  I want to navigate to the My Info page
  So that I can view and update my personal information","5946","Navigate to My Info Page","","Sat Jan 04 16:24:50 UTC 2025","failed","Sat Jan 04 16:24:55 UTC 2025","","Navigate from Dashboard to My Info Page","Navigate to My Info Page",""
"  As a logged-in user
  I want to navigate to the My Info page
  So that I can view and update my personal information","5674","Update Gender","","Sat Jan 04 16:25:02 UTC 2025","passed","Sat Jan 04 16:25:08 UTC 2025","","Navigate from Dashboard to My Info Page","Update Gender",""
"  As a logged in user
  I want to manage timesheets and customer information","15786","Edit Timesheet Information","","Sat Jan 04 16:25:45 UTC 2025","passed","Sat Jan 04 16:26:01 UTC 2025","","Time Module Navigation and Customer Management","Edit Timesheet Information",""
"  As a logged-in user
  I want to access the Dashboard page
  So that I can view the overview of the application","3023","Verify Pending Leave Requests widget functionality","","Sat Jan 04 16:24:35 UTC 2025","passed","Sat Jan 04 16:24:38 UTC 2025","","Validate Dashboard Page","Verify Pending Leave Requests widget functionality",""
"  As a logged in user
  I want to manage timesheets and customer information","20743","Create New Timesheet","","Sat Jan 04 16:25:25 UTC 2025","passed","Sat Jan 04 16:25:45 UTC 2025","","Time Module Navigation and Customer Management","Create New Timesheet",""
